"We will update profiles. [SPEAKER_TURN]",""
"We will update profiles.",""
"So I'm guessing we're engineering and we're computer engineering. [SPEAKER_TURN]","reasoning"
"Probably. [SPEAKER_TURN]","confusion"
"Are we? Well you probably think you're a mathematician don't, you? [SPEAKER_TURN]","confusion|reasoning"
"There's no sciences in mathematics. Take that box as well. No, keep the computer engineering.","reasoning"
"I think we'll want um we'll have a computer science. Yes sir. [SPEAKER_TURN]","reasoning"
"What's the difference? What do you think? [SPEAKER_TURN]","questioning"
"Well one is more applied and the other one is more theoretical. [SPEAKER_TURN]","reasoning"
"But I think this does like what we're doing with it like software engineering studies and [SPEAKER_TURN]",""
"I think it has both a number of other things. [SPEAKER_TURN]",""
"And then I was also uh teaching it. [SPEAKER_TURN]",""
"And social science as well. Is it like a social study or what is this about? I think it is about","questioning"
"uh even though I am not an expert on social and behaviour I think this study is about what are [SPEAKER_TURN]","doubt|questioning|reasoning"
"Because we aren't doing social science it's, just none of us have any background in social science and [SPEAKER_TURN]",""
"Well the methodologies are from there. So go with it. But I think the [SPEAKER_TURN]",""
"No, we're not stats. Gasping subject. [SPEAKER_TURN]",""
"Oh no. [SPEAKER_TURN]",""
"Uh.",""
"Counselling um. [SPEAKER_TURN]",""
"organization development. [SPEAKER_TURN]",""
"Yeah, that sounds about right, doesn't it? Yeah. [SPEAKER_TURN]",""
"All science and technology studies? [SPEAKER_TURN]",""
"Yes, yeah. [SPEAKER_TURN]",""
"Should we go for that Huh? [SPEAKER_TURN]",""
"They call the boxes. [SPEAKER_TURN]",""
"Oh.",""
"Counselling. [SPEAKER_TURN]",""
"I would have any category Um. there is food uh. [SPEAKER_TURN]",""
"So I do. [SPEAKER_TURN]",""
"No, but uh it applies to all of us. I'm not I'm just really trying because there's the open data aspect. [SPEAKER_TURN]","reasoning"
"If that data science is kept within that. [SPEAKER_TURN]",""
"No but, when you select an inner an inner element, it does select it. Oh it, doesn't select the private element. [SPEAKER_TURN]",""
"This is interesting. If you go to computer engineering, it's how you build computers rather than what you do with them. So I think we can kill that.","exploring|reasoning"
"Agree? It says [SPEAKER_TURN]",""
"Yes, there's there's some of that in the there's some of that in the school which, this will apply to like, whatever the outcome of this. [SPEAKER_TURN]",""
"But",""
"Yeah, I think I also agree that one thing is where it's going to be applied, and another thing is this study. What is what is this study? What are we doing this study about? And I think this is more about open data, open uh open software Um. I mean is it software also part of computer engineering, or is it part of computer science uh software Uh? I mean the [SPEAKER_TURN]","meta|questioning"
"whether it was pretty clearly in computer sciences and not in computer engineering. [SPEAKER_TURN]","meta|questioning"
"it doesn't need to be engineering. [SPEAKER_TURN]",""
"I w would be tempted to agree with you.",""
"So unless you really want to",""
"we'll vote and make it a democracy, shall we Um. [SPEAKER_TURN]","humor"
"Oh, so the the census has reached. [SPEAKER_TURN]",""
"Education? Or [SPEAKER_TURN]",""
"Yeah, I was looking through that. It seems more like real education rather than uh scientists prattling about. Um","humor|reasoning"
"I don't really think it's social science. We think we're using methods as social science, but it it's a study in computer science by the same argument as computer engineering really. [SPEAKER_TURN]","reasoning"
"But yeah, I don't know.",""
"I yeah, I don't know. I I believe this is a la social experiment to see how our interactions uh lead to something. Um but yeah, I don't know. Well, it it's just up to you uh [SPEAKER_TURN]","doubt|questioning"
"No, I uh let's go on. Let's keep it for the time being.",""
"We can always change it later. We don't want to be discovered. At least I'm a privacy researcher. Right.","humor"
"Um only one person is able to edit a registration draft at a time. Be sure to coordinate well. We are We're. Computer scientists will just make three mice on the screen, won't we. Absolute bastards. Right. [SPEAKER_TURN]","frustration|humor"
"We don't know what we're doing. [SPEAKER_TURN]","hypothesis"
"That's a that's hypothesis number one. [SPEAKER_TURN]","hypothesis"
"Well no, but I I I think, like we're being clear, but that is kind of it, right?","questioning"
"And would like to know",""
"how to pre-register a study. [SPEAKER_TURN]",""
"Uh that's less of a hypothesis uh, than to build a goal out of that. Um [SPEAKER_TURN]","hypothesis"
"hypothesis e directional or non-directional. [SPEAKER_TURN]","hypothesis|questioning"
"What's the difference? I don't know. Sorry, it's [SPEAKER_TURN]","hypothesis|questioning"
"But this is not a poi uh hypothesis, is it? [SPEAKER_TURN]",""
"No, our hypothesis is that we don't know what we're doing, right. [SPEAKER_TURN]","hypothesis"
"Is that a hypothesis? [SPEAKER_TURN]","hypothesis"
"Yeah. Do you think you know what we're doing? Do you think we're likely to know what we're doing? [SPEAKER_TURN]","hypothesis|reasoning"
"But like also, but imagine you're a computer scientist, right. Brand new P_H_D_ student coming in. We've never done a scientific study before, 'cause you all you've ever done is coursework. And you're gonna pre-register your study 'cause you've heard it's good. Do you think you're gonna know how to do any of this stuff? We don't know what we're doing. [SPEAKER_TURN]","doubt|questioning|reasoning"
"Yeah, but if we know that we don't know, it's not a hypothesis. [SPEAKER_TURN]","hypothesis|reasoning"
"Mm-hmm. [SPEAKER_TURN]",""
"Okay. [SPEAKER_TURN]",""
"So the second one is the same. [SPEAKER_TURN]",""
"No, it means that the process may be easy. If that doesn't mean that you don't know. [SPEAKER_TURN]","hypothesis|reasoning"
"So the second hypothesis is from the hypothesis that you're not really good at it. [SPEAKER_TURN]","hypothesis"
"Yeah. [SPEAKER_TURN]",""
"Because there is um yeah, i it's doing causation. Uh it's capturing causation. But really what we want is we can still get to the end of the process. Or we can still succeed in peer registering uh Wait. What is the study? Is it just doing the peer registration or is it doing everything else after? [SPEAKER_TURN]","hypothesis|reasoning"
"I think it's so for me it's",""
"if you ask a bunch of computer scientists to go and come up with guidelines of how to","meta|reasoning"
"to find open so open conclusions, that they can do so.","meta|reasoning"
"And what's the process for actually doing that? Which we're doing all this stuff for, because we've as part of doing open stuff and working out, so so [SPEAKER_TURN]","questioning"
"But it's not about the open register. It's about the pool. [SPEAKER_TURN]",""
"So but so so uh hypothesis would be that the Open Science Foundation's process supports um the outcome of getting open science, including open source and open data outcomes. So I'll go with that. [SPEAKER_TURN]","hypothesis|reasoning"
"Yes.",""
"So hang on. I appreciate I'm calling this, but",""
"processes for pre-recording",""
"pre-registering, sorry.",""
"Um open science is oh I, sorry I'm, gonna go drive myself mad if I don't change this in a second.",""
"Board.",""
"Come on you s silly thing. Input sources.",""
"I cannot. There we go.",""
"Pre-regarding open science experiment.",""
"Support.",""
"Now you see I get the r return effect 'cause I've switched back from QWERTY again.",""
"Um [SPEAKER_TURN]",""
"The production of open outputs including open source and open data.",""
"Open source. [SPEAKER_TURN]",""
"Yeah. Opens yeah, source and open data.",""
"Is it F_X_, F_R_, R_S_H_ I? don't care. Um [SPEAKER_TURN]",""
"I think this is [SPEAKER_TURN]",""
"This is kind of",""
"That's kind of the the statement oh, don't tell me to re-write it with A_R_ you horrible thing. Oh no, that's excellent Um.",""
"That's kind of our big hypothesis with the two sub-hypothesis designs that we don't really know what we're doing.","hypothesis"
"But have done it in our but have done it often enough","hypothesis"
"that we think we hit it mostly by accident. [SPEAKER_TURN]",""
"I I don't fully understand that in the second point how it is says written. The processes say no. [SPEAKER_TURN]","confusion"
"Easy enough to not make a difference. I think we're trying to say here that when doing the pre-registration we should be able to model through despite the fact that we're not experts. [SPEAKER_TURN]","meta"
"But it's it's forcing us to make all the decisions that we haven't thought about beforehand. So I'd m so. [SPEAKER_TURN]","meta"
"To be brief and as you are uh describing it now no, not to make a difference it's very uh unbelievable what what what what does it mean. [SPEAKER_TURN]","writing"
"Um",""
"Able to model",""
"Able to identify oh, this is horrible language, but let's edit it later. Right first, edit later. Um","editing|writing"
"Oh. [SPEAKER_TURN]",""
"Science slash data. Guidelines despite not knowing what we're doing. [SPEAKER_TURN]","writing"
"And I guess the third point is uh past experience is try attempting to do open science,","editing|writing"
"orbit, complete the ad hoc matches fairly closely to what we think should be done. [SPEAKER_TURN]","editing|writing"
"Yeah, so so I think the yeah, this one is more about the outcomes, right. So the outcomes we get to at the end are not too far from standard practice, right.","writing"
"And now it's time to speak. [SPEAKER_TURN]",""
"I have a comment on another report. [SPEAKER_TURN]",""
"About the point two, at the end it says despite not knowing what we are doing, I would s rephrase by not knowing or or not having done this process before, but something like that not, like if it is very generic, not before uh yeah, but something that I think it would be better to do. [SPEAKER_TURN]","editing|hypothesis"
"The g big hypothesis is directional, right. It implies there's a there's a causation of","reasoning"
"it's by going through this process that we get the artifacts that we get the good artifacts. But the third one is implying that it's not needed, the third sort of hypothesis. [SPEAKER_TURN]","process|reasoning"
"Then this is about each of the hypotheses, right? So it's not yet the following that.","hypothesis"
"I I'll be honest, I don't really understand what directional research is given a premise you get to a conclusion. [SPEAKER_TURN]","confusion"
"And I think the the directional hypothesis is so um this is all statistical stuff, right. So a hypothesis is gonna be critically a correlation unless you make a direction or not have a causation out of it. Uh so it's A_ and B_ are correlated is usually much easier to test than A_ as a cause of the mm-hmm. [SPEAKER_TURN]","process"
"It is it is indicating here that each of the hypotheses that has a reaction should be specified. What is the what is the outcome of each of them or [SPEAKER_TURN]","hypothesis"
"Yeah, so but but I think bec so so the point I was making in that last sentence is that the big top level hypothesis is directional. It is saying to that by going through the periodistration process or through the open science foundations thing, that helps you get to good outcomes. But then as a sub-hypothesis we've got also that we've been doing the right thing without going through that process. And and so it feels a bit [SPEAKER_TURN]","hypothesis|meta|reasoning"
"like three years is an anti-orbitus expression. [SPEAKER_TURN]","humor"
"Just that [SPEAKER_TURN]",""
"but but I mean i even if the hypothesis has a direction, this doesn't mean that we are we need to be able to to to solve to to to find out if it the um [SPEAKER_TURN]","hypothesis"
"Yeah, the w w w so all of it should be the experiment design should be",""
"fit to test the Hergworth calculus okay, as it's phrased, yeah. [SPEAKER_TURN]",""
"if we actually want to find out this direction, then we should run a study with more people, involving with more people and making all this type of statistical tests that test one person without the knowledge, one person with the knowledge and [SPEAKER_TURN]","meta|methods"
"Well no, but that's but that's why we're gonna be doing thematic analysis right, because we're we are doing this grounded in our hey, we've got a bunch of computer scientists here. These are the things that we observe. These are the general problems we have. We're not trying to definitively prove that there is or is not an effect here. We're trying to say well okay, what are the causes that led us and our experiences as lecturers senior, lect and R_A_ right, to to come up with this. And it's kind of [SPEAKER_TURN]","meta|methods"
"Yeah.",""
"it's horrifically circular, but [SPEAKER_TURN]","meta"
"But but I also think there's something I do want on the record that my experience of projects is","experience"
"we have a problem we want to solve. It's a mathematical problem. We've got a set of assumptions we're happy with and we just derive a solution from the assumptions. And there's not like the testing is just we run this op the this solution, we see if it actually solves the problem or not. [SPEAKER_TURN]","comparison|meta|methods"
"Um we might measure performance we, might measure a bunch of other things, but it's it's just a very at-hoc What. your the discussion you're having now is suggesting that yours is more quantitative research. So it's you've got a bunch of data, you're doing statistics or machine learning on that, and and you can actually derive quantitative information about the likelihood of facts in the biggest [SPEAKER_TURN]","comparison|meta|methods"
"Yeah. I was just pointing out if we want to define a to test a direction, we sh we should be in different situations in the situation, but I think that's not a good idea. [SPEAKER_TURN]","comparison|experience|methods"
"Yeah. [SPEAKER_TURN]",""
"Uh-huh.",""
"But that I know nothing about, right. So when I write w w we don't know what we're doing. It's in particular with the methods that we'll y you'd be using at this time. [SPEAKER_TURN]","hypothesis|methods"
"Yeah thanks, I was I was going to point out I don't like the first uh I don't like it. [SPEAKER_TURN]","disagreement"
"And it's very recursive, right. So the the b the study is designed to test whether we understand what we're doing while running the study. I don't think we should be a meta a meta study on top or whatever. But yeah we, should rea per per disease to another one. Yeah. [SPEAKER_TURN]","meta"
"But but maybe somebody w again it's auto-ethnography. So it is meant to be recursive. And maybe it's fine if you tell us what to do in this setting and then we uh we're reflexive, right? [SPEAKER_TURN]","confusion"
"Um then you uh are are you going to move uh uh you s you specifically say that this sentence is talking about the oh uh or is it talking about everything. I think this is talking about the first point, no? And then the three following hypotheses are sub sub points. [SPEAKER_TURN]","confusion|reasoning"
"This is non-directional. No, it's non-directional. [SPEAKER_TURN]",""
"Okay. I'm gonna trust you on that. If I don't understand it. Yeah. [SPEAKER_TURN]","confusion|reasoning"
"In fact uh we should be able to modify what I'm talking about. It despite not having done this process before, so this one is non-directional as well. If it was phrased positively it, would be directional. [SPEAKER_TURN]","hypothesis|methods"
"Sorry? Thi this is this to me is non-directional. If i if i [SPEAKER_TURN]",""
"Um so that the despite is a is would be an implication if it was phrased. Because we haven't done this before, then we can still do it. But because it's despite it's actually just either we know what we've either we've gone through this process before and that's that's only you, Joe. [SPEAKER_TURN]","direction|hypothesis|methods|reasoning"
"This process before. I haven't gone through this process before. So this is non-directional. This is just a statement of fact and then the despite not having gone through this process before is just qualifying it. [SPEAKER_TURN]","argument|direction|hypothesis"
"We suspect that we will be able to do it because we're gonna attempt to do it. And if we don't attempt to do it, then we didn't manage to start this process to begin with.","argument|direction|meta"
"It can't be directional because if it isn't if we falsify the directional one, there's no way to falsify it, right? Either we don't run the study at all. [SPEAKER_TURN]","direction|meta"
"Mm. [SPEAKER_TURN]",""
"Or we do manage to succeed in it and the hypothesis is true, it's false that we can still pre-register a study.","direction|meta"
"Because otherwise we wouldn't have registered the study to begin with. So it can't be direct non-directional because there is","direction|meta"
"Mathematically. it's just a f it's a line. There's no chance of having something does that make sense? No, none of this makes sense. [SPEAKER_TURN]","confusion|humor|meta"
"I think I think to me it makes sense logically, right. What what we have is um we haven't done it before, that's a fact. That's just true. And and the other thing is we are able to finish the process, right? There's no no causation there, right? We're [SPEAKER_TURN]","confusion"
"just testing if we are able to go through it. To finish the process successfully.",""
"If we if we can then cool. And if we can't then that's that's it that's, falsified. But the the despite not having done this process before is not um it's not actually anything we test, right. This is something that is true in the case of all three of us. It is not true in the case of a waste, but [SPEAKER_TURN]","confusion|meta"
"But what if what if you change it, for example for if I don't know uh if I have never done the process, I still will be able to uh uh uh what was it It's. a two spiral, I think. That hypothesis is that different for you. Because it there is a n because there is an if statement. And this doesn't have this is a state in what it is, you know. That's what you made. [SPEAKER_TURN]","confusion|hypothesis"
"Yes. So we're we're not that hypothesis is not entailing that there's a causation from never having done it before to succeeding. That would be a very very surprising hypothesis. Uh because we haven't done it before we, can go through it now. Um. [SPEAKER_TURN]","confusion|hypothesis"
"Yeah.",""
"we can't fail to do that And. we can only way we can fail to do that is by fending to keep us from studying. [SPEAKER_TURN]","confidence|reasoning"
"No no, because they this is the hypothesis is not just about the peer education. It's about conducting a whole project with good quality open science practices and outcomes. Um I'll pass it to you to do it. [SPEAKER_TURN]","confusion|hypothesis|meta"
"Shall I put a note down here? It says if there's a specific interaction or moderation is important to your research, this is oh no, I'm still typing in clearly. This is auto-ethnographic. [SPEAKER_TURN]","process"
"And how do you put these things? Sorry. [SPEAKER_TURN]",""
"Oh yeah yeah yeah yeah. [SPEAKER_TURN]",""
"But it says that you can use that as a separate I, apologize. I mean uh it it says that it shouldn't be part of these notes.",""
"It doesn't matter if you simply don't separate outputs. Um but you can you can you can you can you can list that as a separate hypothesis. As a separate uh as a separate uh as a separate. [SPEAKER_TURN]","processing"
"Mm-hmm.",""
"Mm-hmm.",""
"a particular effect or a particular size of effect, then it should be listed here so that it's not crafted after the fact. And then um if one of your of the things that you're predicting is you're expecting that it will interact with other factors or be moderated by other factors, so that's this interaction and moderation, then you should be listing that interaction or that moderat moderating effect as a separate hypothesis that you should then be tried to test.","processing"
"But this is not about interaction with people and moderation by others. [SPEAKER_TURN]",""
"It yeah, it's just to to uh sub-divide any hypothesis that may have some internal hypothesis uh uh uh at the same time. Um okay, then um list especially the size testable hypothesis, then i if this is a list, maybe the first one should be one and the other ones should be one point one one point two one point three, because they are they are they are they are [SPEAKER_TURN]",""
"too much into numbering things. [SPEAKER_TURN]",""
"What I mean is that it should be clear that the first one is the main hypothesis somehow Uh. [SPEAKER_TURN]","confusion|hypothesis"
"I mean I think it is, right? [SPEAKER_TURN]",""
"Yeah, okay. If to you this is clear that the hypothesis is a first sentence, then that's okay. I i for me for me [SPEAKER_TURN]","hypothesis"
"I mean why would we have written it if we didn't want it to be read? [SPEAKER_TURN]","confusion"
"People may think that this is just an introduction and the hypothesis is listed as one. [SPEAKER_TURN]",""
"Well, when they read the paper that we uh produce having, ratio editing up this study, they will see clearly that and then but that's the point of this right, It's. for accountability. [SPEAKER_TURN]","meta"
"Yeah. [SPEAKER_TURN]",""
"I mean we can number it if you want, but I mean it's just true. [SPEAKER_TURN]",""
"I it would just uh yeah. In my m in my mind it was like this least specific on time from testable hypothesis, then you should produce a list somehow to in my in my but that doesn't matter Maybe. it's as you say it's just text, that's it. Yeah, okay. Yeah. [SPEAKER_TURN]","hypothesis|reasoning"
"Um, so yeah, I I I think it's a good idea. Yeah, we're not uh yeah Um. one final knit Um. apparently the F_ in O_S_F_ is framework, not foundation. That that was me. [SPEAKER_TURN]",""
"I think he will tell us that we've done it all wrong. But but we have recorded this process and then we can have an argument about it which will aid in our understanding of what this process is. [SPEAKER_TURN]","correctness|meta"
"Isn't it wonderful, the uh the whisper A_I_ model, it really does quite good transcription. Well, I mean we can pay if it isn't good, it will pay to have it transcribed. Sorry, we'll make money bags pay to have it transcribed. But uh [SPEAKER_TURN]",""
"Yeah, I mean I did th I did think, you know, of putting up a big red sign saying we are recording audio here or maybe doing it in a more private room. But luckily no one said anything and if we're doing it by gate, I mean well, you know, we'll just we'll just we'll just hit them on the legs with hockey sticks and then that will throw off the gate and ask us, won't we?",""
"Thank God we have weapons right, I'm gonna stop recording before I say anything libelous. [SPEAKER_TURN]",""
"this be sure this is saved somehow uh. [SPEAKER_TURN]",""
"Yes, I will. Sorry, let's",""
"Right, so attempt to filling in the OSF registration metadata.",""
"Fun fun for all.",""
"A vase isn't here, inner is still dropped out as far as I'm aware.",""
"But we do have Francois and Miguel.",""
"So where did we get up to last time?",""
"We got the study information done and we came up with three hypotheses.","catchup"
"We don't know what we're doing methodologically and it's non-directional.","hypothesis"
"We should be able to model through the process of writing open science.","hypothesis"
"of writing open science data guidelines despite most of us not having done this process before, which is also non-directional.","hypothesis"
"And our past experiences attempted to do open science in an ad hoc way. We're not too far from best practice.","hypothesis"
"I guess we're on to the design plan stage.",""
"So, what are we doing here? We're doing observational study because data was collected from study subjects that are not randomly assigned to a treatment.","catchup"
"We're not randomly assigned. Well, I mean, we're randomly assigned in the sense that we're doing observational study, because data was collected from study subjects that are not randomly assigned to a treatment. We're not randomly assigned. Well, I mean, we're randomly assigned in the sense that we're","assignment|reasoning"
"that we got told, come and do this.","assignment|reasoning|sarcasm"
"So we have chosen to do this study.","assignment|reasoning|sarcasm"
"Yeah.",""
"So we're not random.","reasoning"
"I guess we can't do blinding because...","blinding|reasoning"
"We are aware of the experimental manipulation.","blinding|reasoning"
"Yeah, because the experimental manipulation is we're trying to do it ourselves.","blinding|reasoning"
"is that right yeah that's correct but we don't know how it will proceed after we have","confusion|reasoning"
"failed this registration well I mean we don't know how it will proceed but we'll what I mean","confusion|reasoning"
"is what if at some point we decide then what if this can be changed after that or is this I","confusion|reasoning"
"don't know no this is this is fixed but I think this is the study of can we go through",""
"registration oh yeah yeah yeah sorry yeah",""
"I was thinking more on the larger scale.","reasoning"
"The larger scale is a bigger thing.",""
"But we also, because we have no idea what we're doing,","confusion"
"we can't tell what we're getting through.",""
"Yeah, yeah.",""
"Yeah, but this is true.","confidence"
"And for this one, it's true.","confidence"
"Of course, if I wanted, so, I mean, okay,",""
"I mean, this is getting slightly up my inner art here.",""
"But say I did want to apply treatment to people who are registering studies,","questioning|treatment"
"which I guess is you guys,",""
"I guess I could just ask you to turn away","humor"
"whilst I quickly check the box that says,","humor"
"I have applied a treatment to you.","humor"
"Would that even, I'd have to fill it in sneakily when you weren't looking.","humor|treatment"
"Also, we have access to it.",""
"Yeah.",""
"It's really hard to do that.","frustration"
"There's no blinding.","blinding"
"No, so there can't be blinding because we can't blind.","blinding|humor"
"Well, we could still, so this is, I think, where Mikal was going.","reasoning"
"If we then, as part of the study, present the experimental setup to others and ask them to evaluate it,","reasoning"
"particularly the third hypothesis, let's say, despite not knowing what we're doing, we're still doing the right thing.","reasoning"
"then we might want to blind them","blinding|reasoning"
"by giving them something that was prepared","reasoning"
"by somebody who knows what they're doing","blinding|reasoning"
"versus what we end up producing.","reasoning"
"But I don't think we're at the point",""
"where we can't even talk about that yet.","confusion"
"Cool.",""
"Is there any additional blinding involved in the study?","blinding|questioning"
"No.",""
"What I am just thinking is","reasoning"
"if we go through the direction of no blinding,","blinding|reasoning"
"are we limited in the type of...","reasoning"
"conclusions that we will get out of this.","reasoning"
"But how would we blind?","blinding|confusion"
"Yeah, yeah, that's another thing.",""
"Yeah, I don't know.",""
"I don't think we can...","reasoning"
"We're not limited more by taking that box.","reasoning"
"By the way we're already running this at the end.",""
"Yeah.",""
"So I think taking that box is the right thing.","reasoning"
"Yeah.",""
"Yeah. Okay, so study design.",""
"Describe your study design. The key is to be as detailed as necessary given the specific parameters of the design.",""
"There may be some overlap between this question and the following questions. That is okay, as long as sufficient detail is given.","questioning"
"Did we discard all the rest of the... There are multiple...","confusion"
"For the blinding ones.",""
"There are mark all that apply.",""
"I didn't read all of them. Sorry.",""
"No blindings involved in studies.","blinding"
"For studies not involve human subjects, they will not know the treatment group.",""
"There are no treatment groups.","frustration|rote"
"It's just observation.","frustration|rote"
"Personnel who interact directly with the study subjects will not be aware of the assigned treatments.",""
"There are no assigned treatments.","frustration|rote"
"It's observational.","frustration|rote"
"Personnel who analyzed the data collected from the study are not aware of the treatment applied to any group.",""
"There is no treatment.","frustration|rote"
"So it's no, no, no.","frustration|rote"
"Yeah.",""
"Cool.",""
"So it says there's going to be data in following questions.",""
"And I'm just kind of half tempted to have a quick flick through what the following questions are.","boredom"
"So in sampling plan, it's going to be an explanation of what data we've already got,","consideration"
"which we haven't got any data collection procedures, which is.","confidence|consideration"
"we are going to screen record and analyze transcripts using thematic analysis.","confidence|consideration"
"Are we, because you are taking a non-linear road at the moment,","confusion|questioning"
"are we going to say that in order to probably understand the process,","confusion|meta"
"we actually didn't follow the linear direction that they proposed to...","confusion|meta"
"There's a back button, right?","questioning"
"Yeah.",""
"Yeah, okay, anyone can go back and follow, yeah.",""
"Yeah. And we're academics, right? We're herdless cats and we will do things in whatever order we think best.","humor"
"I want to point out on the sampling plan, there is no box at the top that we can tick.","frustration"
"Because the registration is not prior to the creation of the data. It is creation of data itself.","confusion|meta"
"Mm.",""
"It's fine.","frustration"
"You must select a value.",""
"Hmm.",""
"it's fine","frustration"
"we're starting the registration",""
"prior to the creation prior to the creation of the data",""
"well okay I'll just",""
"point out I won't run",""
"I'll pretend I haven't run the","confusion"
"transcription until we",""
"I mean that's going to be a lie","confusion|frustration|humor"
